id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,district,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019
"82",Maluku,Buru Selatan," 536,043 "," 560,887 "," 590,025 "," 621,698 "," 660,560 "," 705,279 "," 748,857 "," 794,736 "," 842,551 "," 892,106 ",Buru Selatan,"0","0","0","0","0","0","0","0","0","0"
"83",South East Sulawesi ,Buton," 3,640,076 "," 4,075,055 "," 4,512,651 "," 4,877,739 "," 2,209,250 "," 2,301,463 "," 2,410,493 "," 2,529,408 "," 2,657,006 "," 2,788,039 ",Buton,"0","0","0","0","0","0","0","0","0","0"
"84",South East Sulawesi ,Buton Selatan," - "," - "," - "," - "," 1,562,366 "," 1,626,277 "," 1,742,701 "," 1,864,284 "," 1,966,490 "," 2,062,349 ",Buton Selatan ,"0","0","0","0","0","0","0","0","0","0"
"85",South East Sulawesi ,Buton Tengah," - "," - "," - "," - "," 1,260,520 "," 1,296,598 "," 1,401,356 "," 1,492,051 "," 1,579,008 "," 1,656,389 ",Buton Tengah ,"0","0","0","0","0","0","0","0","0","0"
"86",South East Sulawesi ,Buton Utara," 1,194,945 "," 1,308,885 "," 1,423,853 "," 1,549,525 "," 1,698,127 "," 1,768,242 "," 1,875,125 "," 1,992,103 "," 2,108,647 "," 2,228,586 ",Buton Utara,"0","0","0","0","0","0","0","0","0","0"
"87",West Java,Ciamis," 13,716,197 "," 14,433,282 "," 15,213,674 "," 16,026,514 "," 16,839,416 "," 17,779,913 "," 18,844,974 "," 19,826,748 "," 20,878,689 "," 22,001,240 ",Ciamis,"0","0","0","0","0","0","0","0","0","0"
"88",West Java,Cianjur," 19,696,928 "," 20,660,192 "," 21,817,064 "," 22,883,159 "," 24,041,991 "," 25,352,134 "," 26,981,369 "," 28,538,994 "," 30,320,206 "," 32,039,318 ",Cianjur,"0","0","0","1","1","1","1","1","1","1"
"89",Central Java,Cilacap," 75,099,090 "," 78,156,819 "," 79,702,238 "," 81,022,670 "," 83,391,500 "," 88,357,607 "," 92,858,650 "," 95,254,587 "," 98,100,568 "," 100,327,299 ",Cilacap,"0","0","0","0","0","0","0","0","0","0"
"90",West Java,Cirebon," 21,496,571 "," 22,621,717 "," 23,857,750 "," 25,042,255 "," 26,312,992 "," 27,596,255 "," 29,149,312 "," 30,623,306 "," 32,161,840 "," 33,668,098 ",Cirebon,"0","0","0","0","0","0","0","0","0","0"
"91",North Sumatera,Dairi," 4,238,246 "," 4,447,094 "," 4,671,001 "," 4,906,859 "," 5,153,826 "," 5,413,749 "," 5,688,451 "," 5,968,806 "," 6,267,822 "," 6,569,813 ",Dairi,"0","0","0","0","0","0","0","0","0","1"
"92",Papua,Deiyai," 383,610 "," 456,503 "," 492,081 "," 545,727 "," 608,615 "," 686,959 "," 741,299 "," 776,909 "," 803,579 "," 833,647 ",Deiyai,"0","0","0","0","0","0","0","0","0","0"
"93",North Sumatera,Deli Serdang," 43,040,005 "," 45,257,733 "," 47,513,866 "," 51,896,062 "," 55,790,749 "," 58,713,674 "," 61,839,675 "," 64,991,871 "," 68,340,999 "," 71,878,690 ",Deli Serdang,"0","0","0","0","0","0","0","0","0","0"
"94",Central Java,Demak," 11,647,736 "," 12,275,703 "," 12,823,227 "," 13,499,226 "," 14,078,420 "," 14,913,000 "," 15,672,483 "," 16,584,124 "," 17,479,877 "," 18,417,010 ",Demak,"0","0","0","0","0","0","0","0","0","0"
"95",West Sumatera,Dharmasraya," 4,542,599 "," 4,840,426 "," 5,140,196 "," 5,474,897 "," 5,821,734 "," 6,156,752 "," 6,490,286 "," 6,843,182 "," 7,204,466 "," 7,560,323 ",Dharmasraya,"0","0","0","0","0","0","0","0","0","0"
"96",Papua,Dogiyai," 456,533 "," 506,993 "," 551,739 "," 596,461 "," 650,760 "," 704,722 "," 753,373 "," 797,698 "," 844,460 "," 892,883 ",Dogiyai,"0","0","0","0","0","0","0","0","0","0"
"97",West Nusa Tenggara ,Dompu," 3,084,874 "," 3,307,023 "," 3,511,426 "," 3,688,728 "," 3,892,993 "," 4,132,460 "," 4,346,818 "," 4,640,179 "," 4,843,375 "," 5,059,301 ",Dompu,"0","0","0","0","0","0","0","1","1","1"
"98",Central Sulawesi  ,Donggala," 5,305,180 "," 5,662,326 "," 6,044,337 "," 6,458,762 "," 6,837,371 "," 7,246,656 "," 7,559,934 "," 7,961,070 "," 8,165,226 "," 8,528,694 ",Donggala,"0","0","0","0","0","0","0","0","0","0"
"99",South Sumatera,Empat Lawang," 2,294,636 "," 2,433,330 "," 2,582,010 "," 2,721,106 "," 2,836,118 "," 2,963,804 "," 3,098,260 "," 3,213,154 "," 3,348,997 "," 3,470,332 ",Empat Lawang,"0","0","0","0","0","0","0","1","1","1"
"100",East Nusa Tenggara,Ende," 2,640,077 "," 2,775,302 "," 2,921,226 "," 3,077,032 "," 3,231,199 "," 3,395,122 "," 3,567,468 "," 3,747,140 "," 3,931,684 "," 4,131,218 ",Ende,"0","0","0","0","0","0","0","0","0","0"
