id,province,district,gi2007,gi2008,gi2009,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019,gi2020,gi2021,gi2022,gi2023
128,Papua,Jayawijaya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,Jawa Timur ,Jember,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Bali,Jembrana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Sulawesi Selatan ,Jeneponto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Jawa Tengah,Jepara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Jawa Timur ,Jombang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Papua Barat ,Kaimana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Riau,Kampar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Kalimantan Tengah,Kapuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Kalimantan Barat,Kapuas Hulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Bali,Karang Asem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Jawa Tengah,Karanganyar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Jawa Barat,Karawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Kep. Riau,Karimun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Sumatera Utara,Karo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,Kalimantan Tengah,Katingan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Bengkulu,Kaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Kalimantan Barat,Kayong Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Jawa Tengah,Kebumen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Jawa Timur ,Kediri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Papua,Keerom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Jawa Tengah,Kendal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Bengkulu,Kepahiang,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
151,Sumatera Barat,Kepualauan Mentawai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Kep. Riau,Kepulauan Anambas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Maluku,Kepulauan Aru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Riau,Kepulauan Meranti,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
155,Sulawesi Utara ,Kepulauan Sangihe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Sulawesi Selatan ,Kepulauan Selayar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,DKI Jakarta,Kepulauan Seribu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Maluku  Utara ,Kepulauan Sula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Sulawesi Utara ,Kepulauan Talaud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Papua,Kepulauan Yapen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Jambi,Kerinci,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
162,Kalimantan Barat,Ketapang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Jawa Tengah,Klaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Bali,Klungkung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Sulawesi Tenggara,Kolaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Sulawesi Tenggara,Kolaka Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Sulawesi Tenggara,Kolaka Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Sulawesi Tenggara,Konawe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Sulawesi Tenggara,Konawe Kepulauan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Sulawesi Tenggara,Konawe Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Sulawesi Tenggara,Konawe Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
