id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
117,Maluku  Utara ,Halmahera Timur,60.06,60.77,61.73,62.71,63.26,63.99,64.92,65.77,66.2,66.74,66.75,67,67.93,68.82
118,Maluku  Utara ,Halmahera Utara,61.46,62.31,62.94,63.81,64.18,65.04,66.02,66.52,67.3,67.75,67.5,67.82,68.38,69.05
119,Kalimantan Selatan,Hulu Sungai Selatan,62.8,63.44,64.03,64.59,65.25,66.31,67.52,67.8,68.41,68.8,68.85,69.21,69.76,70.5
120,Kalimantan Selatan,Hulu Sungai Tengah,63.49,63.9,64.34,64.63,65.37,66.56,67.07,67.78,68.32,68.8,68.84,69.05,69.7,70.13
121,Kalimantan Selatan,Hulu Sungai Utara,58.5,59.24,60.12,60.77,61.32,62.49,63.38,64.21,65.06,65.49,65.59,66.12,66.84,67.66
122,Sumatera Utara,Humbang Hasundutan,63.4,64.06,64.54,64.92,65.59,66.03,66.56,67.3,67.96,68.83,68.87,69.41,70.32,70.75
123,Riau,Indragiri Hilir,61.98,62.82,63.04,63.44,63.8,64.8,65.35,66.17,66.51,66.84,66.54,66.63,67.37,67.98
124,Riau,Indragiri Hulu,65.1,65.93,66.5,66.68,67.11,68,68.67,68.97,69.66,70.05,69.83,70.01,70.46,71.04
125,Jawa Barat,Indramayu,60.86,61.47,62.09,62.98,63.55,64.36,64.78,65.58,66.36,66.97,67.29,67.64,68.55,69.25
126,Papua,Intan Jaya,-,40.07,41.89,42.69,43.51,44.35,44.82,45.68,46.55,47.51,47.79,48.34,49.25,50.19
127,Papua,Jayapura,67.15,68.04,68.85,69.21,69.55,70.04,70.5,70.97,71.25,71.84,71.69,72.03,72.67,73.5
128,Papua,Jayawijaya,50.79,51.66,52.27,52.94,53.37,54.18,54.96,55.99,56.82,57.79,58.03,58.67,59.6,60.5
129,Jawa Timur ,Jember,59.94,60.64,61.31,62.43,62.64,63.04,64.01,64.96,65.96,66.69,67.11,67.32,67.97,68.64
130,Bali,Jembrana,66.7,67.53,67.94,68.39,68.67,69.66,70.38,70.72,71.65,72.35,72.36,72.75,73.58,74.04
131,Sulawesi Selatan ,Jeneponto,58.31,58.95,59.62,60.55,61.45,61.61,61.81,62.67,63.33,64,64.26,64.56,65.13,65.9
132,Jawa Tengah,Jepara,66.76,67.63,68.45,69.11,69.61,70.02,70.25,70.79,71.38,71.88,71.99,72.36,73.15,73.85
133,Jawa Timur ,Jombang,66.2,66.84,67.82,68.63,69.07,69.59,70.03,70.88,71.86,72.85,72.97,73.45,74.05,74.6
134,Papua Barat ,Kaimana,57.25,57.87,58.99,60.36,61.07,61.33,62.15,62.74,63.67,64.59,65,65.31,66.11,66.72
135,Riau,Kampar,68.62,69.64,70.08,70.46,70.72,71.28,71.39,72.19,72.5,73.15,72.83,73.02,73.84,74.24
136,Kalimantan Tengah,Kapuas,63.32,64.01,64.38,64.82,65.29,66.07,66.98,68.04,68.68,69.38,69.48,69.63,70.01,70.75
137,Kalimantan Barat,Kapuas Hulu,59.84,60.83,61.85,62.63,62.9,63.73,63.83,64.18,65.03,65.65,65.69,65.75,66.7,67.67
138,Bali,Karang Asem,60.58,61.6,62.95,63.7,64.01,64.68,65.23,65.57,66.49,67.34,67.35,67.36,68.28,68.91
139,Jawa Tengah,Karanganyar,70.31,71,72.26,73.33,73.89,74.26,74.9,75.22,75.54,75.89,75.86,75.99,76.58,77.31
140,Jawa Barat,Karawang,64.58,65.21,65.97,66.61,67.08,67.66,68.19,69.17,69.89,70.86,70.66,70.94,71.74,72.35
141,Kep. Riau,Karimun,66.4,66.82,67.67,68.52,68.72,69.21,69.84,70.26,70.56,71.1,71.44,71.7,72.65,73.51
142,Sumatera Utara,Karo,70.36,71.12,71.4,71.62,71.84,72.69,73.29,73.53,73.91,74.25,74.43,74.83,75.36,75.98
143,Kalimantan Tengah,Katingan,63.25,64.54,64.87,65.29,65.79,66.81,67.41,67.56,67.91,68.55,68.68,68.89,69.74,70.28
144,Bengkulu,Kaur,61.39,61.85,62.32,63.17,63.75,64.47,64.95,65.28,66.2,66.78,66.99,67.17,67.77,68.38
145,Kalimantan Barat,Kayong Utara,55.83,56.58,57.53,57.92,58.52,60.09,60.87,61.52,61.82,62.66,62.68,62.9,63.81,64.79
146,Jawa Tengah,Kebumen,63.08,64.05,64.47,64.86,65.67,66.87,67.41,68.29,68.8,69.6,69.81,70.05,70.79,71.37
147,Jawa Timur ,Kediri,66.24,66.84,67.29,68.01,68.44,68.91,69.87,70.47,71.07,71.85,72.05,72.56,73.46,73.96
148,Papua,Keerom,60,60.65,61.13,62.49,62.73,63.43,64.1,64.99,65.75,66.59,66.4,66.49,67.24,68.08
149,Jawa Tengah,Kendal,66.23,66.96,67.55,67.98,68.46,69.57,70.11,70.62,71.28,71.97,72.29,72.5,73.19,73.86
150,Bengkulu,Kepahiang,62.6,63.44,63.86,64.44,65.22,65.45,66.35,66.6,67.14,67.67,68.17,68.62,69.09,69.6
151,Sumatera Barat,Kepualauan Mentawai,55.66,55.9,56.1,56.33,56.73,57.41,58.27,59.25,60.28,61.26,61.09,61.35,62.19,63.13
152,Kep. Riau,Kepulauan Anambas,63.03,63.71,64.32,64.86,65.12,65.86,66.3,67.06,67.53,68.48,68.8,69.23,69.61,70.26
153,Maluku,Kepulauan Aru,58.22,58.6,59.17,59.62,59.91,60.5,61.32,62.13,63.12,63.64,63.71,63.83,64.21,65.01
154,Riau,Kepulauan Meranti,59.71,60.38,61.49,62.53,62.91,63.25,63.9,64.7,65.23,65.93,65.5,65.7,66.52,67.28
155,Sulawesi Utara ,Kepulauan Sangihe,64.69,65.34,65.87,66.15,66.82,67.56,68.52,69.14,69.67,70.53,70.73,71.07,71.63,72.22
156,Sulawesi Selatan ,Kepulauan Selayar,62.15,62.53,62.87,63.16,63.66,64.32,64.95,65.39,66.04,66.91,67.38,67.76,68.35,69.2
157,DKI Jakarta,Kepulauan Seribu,64.96,65.79,66.92,67.62,68.48,68.84,69.52,70.11,70.91,71.4,71.63,72.1,72.79,73.39
158,Maluku  Utara ,Kepulauan Sula,57.06,57.98,58.83,59.77,60.18,60.5,61.25,62.04,62.96,63.64,63.53,63.8,64.7,65.29
159,Sulawesi Utara ,Kepulauan Talaud,64.37,64.86,65.51,66.14,66.56,66.92,67.58,67.74,68.32,68.97,69.4,69.83,70.43,71.14
