id,province,district
161,Jambi,Kerinci
162,Kalimantan Barat,Ketapang
163,Jawa Tengah,Klaten
164,Bali,Klungkung
165,Sulawesi Tenggara,Kolaka
166,Sulawesi Tenggara,Kolaka Timur
167,Sulawesi Tenggara,Kolaka Utara
168,Sulawesi Tenggara,Konawe
169,Sulawesi Tenggara,Konawe Kepulauan 
170,Sulawesi Tenggara,Konawe Selatan
171,Sulawesi Tenggara,Konawe Utara
172,Maluku,Kota Ambon
173,Kalimantan Timur ,Kota Balikpapan
174,Aceh,Kota Banda Aceh
175,Lampung,Kota Bandar Lampung
176,Jawa Barat,Kota Bandung
177,Jawa Barat,Kota Banjar
178,Kalimantan Selatan,Kota Banjar Baru
179,Kalimantan Selatan,Kota Banjarmasin
180,Kalimantan Selatan,Kota Baru
181,Kep. Riau,Kota Batam
182,Jawa Timur ,Kota Batu
183,Sulawesi Tenggara,Kota Baubau
184,Jawa Barat,Kota Bekasi 
185,Bengkulu,Kota Bengkulu
186,Nusa Tenggara Barat,Kota Bima
187,Sumatera Utara,Kota Binjai
188,Sulawesi Utara ,Kota Bitung
189,Jawa Timur ,Kota Blitar 
190,Jawa Barat,Kota Bogor 
191,Sumatera Barat,Kota Bukittinggi
192,Banten,Kota Cilegon
193,Jawa Barat,Kota Cimahi
194,Jawa Barat,Kota Cirebon
195,Bali,Kota Denpasar 
196,Jawa Barat,Kota Depok 
197,Riau,Kota Dumai
198,Gorontalo,Kota Gorontalo
199,Sumatera Utara,Kota Gunungsitoli
200,DKI Jakarta,Kota Jakarta Barat
201,DKI Jakarta,Kota Jakarta Pusat
202,DKI Jakarta,Kota Jakarta Selatan
203,DKI Jakarta,Kota Jakarta Timur
204,DKI Jakarta,Kota Jakarta Utara 
205,Jambi,Kota Jambi
206,Papua,Kota Jayapura
207,Jawa Timur ,Kota Kediri 
208,Sulawesi Tenggara,Kota Kendari
209,Sulawesi Utara ,Kota Kotamobagu
210,Nusa Tenggara Timur ,Kota Kupang
211,Aceh,Kota Langsa
212,Aceh,Kota Lhokseumawe
213,Sumatera Selatan ,Kota Lubuklinggau
214,Jawa Timur ,Kota Madiun 
215,Jawa Tengah,Kota Mageleng 
216,Sulawesi Selatan ,Kota Makassar
217,Jawa Timur ,Kota Malang 
218,Sulawesi Utara ,Kota Manado
219,Nusa Tenggara Barat,Kota Mataram 
220,Sumatera Utara,Kota Medan
221,Lampung,Kota Metro
222,Jawa Timur ,Kota Mojokerto 
223,Sumatera Barat,Kota Padang
224,Sumatera Barat,Kota Padang Panjang
225,Sumatera Utara,Kota Padangsidimpuan
226,Sumatera Selatan ,Kota Pagar Alam
227,Kalimantan Tengah,Kota Palangka Raya
228,Sumatera Selatan ,Kota Palembang
229,Sulawesi Selatan ,Kota Palopo
230,Sulawesi Tengah ,Kota Palu
231,Kep. Bangka Belitung,Kota Pangkal Pinang
232,Sulawesi Selatan ,Kota Parepare
233,Sumatera Barat,Kota Pariaman
234,Jawa Timur ,Kota Pasuruan 
235,Sumatera Barat,Kota Payakumbuh
236,Jawa Tengah,Kota Pekalongan 
237,Riau,Kota Pekanbaru
238,Sumatera Utara,Kota Pematang Siantar
239,Kalimantan Barat,Kota Pontianak
240,Sumatera Selatan ,Kota Prabumulih
241,Jawa Timur ,Kota Probolinggo
242,Aceh,Kota Sabang
243,Jawa Tengah,Kota Salatiga 
244,Kalimantan Timur ,Kota Samarinda
245,Sumatera Barat,Kota Sawah Lunto
246,Jawa Tengah,Kota Semarang 
247,Banten,Kota Serang
248,Sumatera Utara,Kota Sibolga
249,Kalimantan Barat,Kota Singkawang
250,Sumatera Barat,Kota Solok
251,Papua Barat ,Kota Sorong
252,Aceh,Kota Subulussalam
253,Jawa Barat,Kota Sukabumi 
254,Jambi,Kota Sungai Penuh
255,Jawa Timur ,Kota Surabaya
256,Jawa Tengah,Kota Surakarta
257,Banten,Kota Tangerang 
258,Banten,Kota Tangerang Selatan
259,Sumatera Utara,Kota Tanjung Balai 
260,Kep. Riau,Kota Tanjung Pinang
261,Kalimantan Utara,Kota Tarakan
262,Jawa Barat,Kota Tasikmalaya 
263,Sumatera Utara,Kota Tebing Tinggi
264,Jawa Tengah,Kota Tegal
265,Maluku  Utara ,Kota Ternate
266,Maluku  Utara ,Kota Tidore Kepulauan
267,Sulawesi Utara ,Kota Tomohon
268,Maluku,Kota Tual
269,DI Yogyakarta ,Kota Yogyakarta
270,Kalimantan Tengah,Kotawaringin Barat
271,Kalimantan Tengah,Kotawaringin Timur
272,Riau,Kuantan Singingi
273,Kalimantan Barat,Kubu Raya
274,Jawa Tengah,Kudus
275,DI Yogyakarta ,Kulon Progo
276,Jawa Barat,Kuningan
277,Nusa Tenggara Timur ,Kupang
