id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
404,Polewali Mandar,21995,7078,1934,5,320,7,22050.89844,21995,7124,1958,5,293,500,12108,7,22050.89844,21995,7450,1971,5,278,7,22050.89844,21995,7461,1975,5,277,7,22050.89844,21995,7424,1938,5,277,7,22050.89844,21995,7394,1931,5,277,7,22050.89844,21995,7356,1931,5,277,7,22050.89844,21995,7290,1930,5,277,7,22050.89844,21995,7290,1933,5,273,7,22050.89844,21995,6952,1912,5,272,6,22050.89844,21995,6952,1912,5,272,6,22050.89844,21995,6882,1912,5,272,6,22050.89844,21995,6901,1912,5,272,6,22050.89844
405,Ponorogo,15038,3423,5382,1928,324,0,15104.13965,15038,3463,5405,1950,284,19,3912,0,15104.13965,15038,3478,5405,1951,283,0,15104.13965,15038,3478,5405,1952,282,0,15104.13965,15038,3478,5405,1952,282,0,15104.13965,15038,3478,5405,1952,282,0,15104.13965,15038,3493,5406,1952,282,0,15104.13965,15038,3590,5423,1953,282,0,15104.13965,15038,3590,5427,1953,278,0,15104.13965,15038,3596,5437,1954,267,0,15104.13965,15038,3595,5437,1955,266,0,15104.13965,15038,3595,5437,1957,264,0,15104.13965,15038,3599,5440,1960,258,0,15104.13965
406,Pontianak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Poso,77034,12546,2539,329,58,4,77136.47656,77034,12510,2541,329,56,3994,57516,4,77136.47656,77034,12523,2537,329,55,4,77136.46973,77034,12498,2533,329,54,4,77136.46973,77034,12439,2498,327,54,4,77136.46973,77034,12423,2428,327,54,4,77136.46973,77034,12344,2410,327,54,4,77136.46973,77034,12247,2393,326,54,4,77136.46973,77034,12252,2394,326,48,4,77136.46973,77034,11981,2381,326,34,1,77136.46973,77034,12012,2381,326,33,2,77136.46973,77034,11920,2380,326,32,2,77136.46973,77034,11874,2379,326,32,2,77136.46973
408,Pringsewu,6384,3723,2017,0,254,17,6420.969727,6384,3765,2110,0,157,87,248,17,6420.969727,6384,3768,2162,0,103,17,6420.969727,6384,3768,2163,0,102,17,6420.969727,6384,3765,2163,0,102,17,6420.969727,6384,3764,2163,0,102,17,6420.969727,6384,3764,2163,0,102,17,6420.969727,6384,3764,2163,0,102,17,6420.969727,6384,3764,2174,0,91,17,6420.969727,6384,3794,2190,0,77,17,6420.969727,6384,3794,2198,0,69,17,6420.969727,6384,3794,2203,0,64,17,6420.969727,6384,3797,2205,0,59,17,6420.969727
409,Probolinggo,18351,5054,4615,647,430,6,18402.29102,18351,5063,4644,649,373,149,7409,6,18402.29102,18351,5031,4613,653,361,6,18402.29102,18351,5032,4618,653,357,6,18402.29102,18351,5037,4620,637,357,6,18402.29102,18351,5035,4612,637,357,6,18402.29102,18351,5053,4596,637,356,6,18402.29102,18351,5111,4595,637,356,5,18402.29102,18351,5111,4603,637,348,5,18402.29102,18351,5044,4613,638,326,4,18402.29102,18351,5038,4613,638,324,4,18402.29102,18351,5038,4615,638,321,4,18402.29102,18351,5035,4616,637,319,2,18402.29102
410,Pulang Pisau,102693,40268,5262,2670,48,50,102792.6797,102693,40598,5090,2602,48,1205,52885,8,102792.6797,102693,41052,5051,2600,48,2,102792.6877,102693,40392,4956,2534,48,2,102792.6877,102693,39869,4831,2444,48,2,102792.6877,102693,39479,4704,2193,48,0,102792.6877,102693,38966,4565,2089,48,0,102792.6877,102693,36971,4285,465,48,0,102792.6877,102693,36971,4285,465,48,0,102792.6877,102693,35272,4106,321,46,0,102792.6877,102693,35025,4070,308,46,0,102792.6877,102693,34728,4004,303,46,0,102792.6877,102693,34124,3970,298,46,0,102792.6877
411,Pulau Morotai,24697,2113,178,0,33,0,24760.69727,24697,2098,180,0,27,201,22191,0,24760.69727,24697,2013,181,0,23,0,24760.69727,24697,1949,184,0,20,0,24760.69727,24697,1786,183,0,20,0,24760.69727,24697,1726,179,0,20,0,24760.69727,24697,1700,179,0,20,0,24760.69727,24697,1653,179,0,20,0,24760.69727,24697,1653,179,0,20,0,24760.69727,24697,1293,164,0,20,0,24760.69727,24697,1293,164,0,20,0,24760.69727,24697,1293,164,0,20,0,24760.69727,24697,1293,164,0,20,0,24760.69727
412,Pulau Taliabu,31514,1624,245,1,7,0,31631.13867,31514,1588,245,1,6,402,29272,0,31631.13867,31514,1484,245,1,5,0,31631.13965,31514,1473,244,1,5,0,31631.13965,31514,1415,231,1,5,0,31631.13965,31514,1359,220,1,5,0,31631.13965,31514,1338,211,1,5,0,31631.13965,31514,1214,193,1,5,0,31631.13965,31514,1214,193,1,5,0,31631.13965,31514,1246,180,1,5,0,31631.13965,31514,1237,180,1,5,0,31631.13965,31514,1235,180,1,5,0,31631.13965,31514,1219,179,1,5,0,31631.13965
413,Puncak,84053,1450,106,723,62,4,84133.28906,84053,1321,82,722,62,723,79412,4,84133.28906,84053,939,65,690,62,4,84133.28809,84053,935,65,690,58,4,84133.28809,84053,839,65,690,53,4,84133.28809,84053,748,65,692,53,4,84133.28809,84053,751,65,692,53,4,84133.28809,84053,746,65,686,52,4,84133.28809,84053,746,65,686,52,4,84133.28809,84053,717,65,685,52,4,84133.28809,84053,717,65,685,52,4,84133.28809,84053,718,65,686,52,4,84133.28809,84053,706,65,686,52,4,84133.28809
414,Puncak Jaya,46612,1785,35,12,30,0,46680.71875,46612,1747,35,12,29,245,44536,0,46680.71875,46612,1461,30,12,29,0,46680.72131,46612,1446,30,12,21,0,46680.72131,46612,1242,30,12,21,0,46680.72131,46612,1242,30,12,21,0,46680.72131,46612,1232,30,12,21,0,46680.72131,46612,1231,30,12,20,0,46680.72131,46612,1231,30,12,20,0,46680.72131,46612,1221,30,12,20,0,46680.72131,46612,1223,30,12,20,0,46680.72131,46612,1217,30,12,20,0,46680.72131,46612,1185,30,12,20,0,46680.72131
415,Purbalingga,8570,1959,1942,0,111,5,8610.509766,8570,1948,1953,0,94,55,4515,5,8610.509766,8570,1920,1950,0,93,5,8610.509766,8570,1920,1950,0,93,5,8610.509766,8570,1912,1949,0,93,5,8610.509766,8570,1921,1951,0,93,5,8610.509766,8570,1965,1955,0,93,5,8610.509766,8570,2077,1979,0,93,5,8610.509766,8570,2077,1980,0,92,5,8610.509766,8570,2172,2015,1,69,5,8610.509766,8570,2168,2019,1,65,5,8610.509766,8570,2162,2009,1,65,5,8610.509766,8570,2161,2009,1,65,5,8610.509766
416,Purwakarta,10486,4223,2961,50,864,5,10520.38086,10486,4229,2977,52,844,895,1484,5,10520.38086,10486,4205,2984,53,835,5,10520.38086,10486,4207,2990,53,827,5,10520.38086,10486,4206,2991,54,825,5,10520.38086,10486,4206,2991,54,825,5,10520.38086,10486,4222,2994,54,825,5,10520.38086,10486,4267,3005,54,823,5,10520.38086,10486,4270,3023,54,800,6,10520.38086,10486,4316,3054,56,769,6,10520.38086,10486,4317,3080,56,742,6,10520.38086,10486,4318,3092,56,729,6,10520.38086,10486,4322,3100,57,716,6,10520.38086
417,Purworejo,11585,1920,3286,19,153,15,11612.54004,11585,1920,3290,19,149,432,5760,15,11612.54004,11585,1920,3290,19,149,15,11612.54004,11585,1916,3291,19,149,15,11612.54004,11585,1891,3269,19,149,15,11612.54004,11585,1885,3268,19,149,15,11612.54004,11585,1891,3268,19,149,15,11612.54004,11585,1923,3270,19,149,15,11612.54004,11585,1923,3271,19,148,15,11612.54004,11585,2095,3272,19,146,15,11612.54004,11585,2102,3272,19,145,15,11612.54004,11585,2108,3270,19,145,15,11612.54004,11585,2112,3271,19,144,15,11612.54004
418,Raja Ampat,82129,638,148,26,79,0,82792.64265,82129,574,143,26,78,8656,72652,0,82792.64265,82129,574,142,26,78,0,82792.64051,82129,561,130,26,74,0,82792.64051,82129,546,120,26,74,0,82792.64051,82129,532,118,26,74,0,82792.64051,82129,532,114,26,74,0,82792.64051,82129,532,112,26,74,0,82792.64051,82129,532,112,26,74,0,82792.64051,82129,528,112,26,74,0,82792.64051,82129,528,112,26,74,0,82792.64051,82129,528,112,26,74,0,82792.64051,82129,528,112,26,74,0,82792.64051
419,Rejang Lebong,15898,9163,302,0,103,1,15941.31934,15898,9294,316,0,85,0,6202,1,15941.31934,15898,9306,322,0,77,1,15941.31934,15898,9306,323,0,76,1,15941.31934,15898,9217,321,0,76,1,15941.31934,15898,9172,304,0,76,1,15941.31934,15898,9136,301,0,76,1,15941.31934,15898,8715,270,0,76,0,15941.31934,15898,8716,271,0,74,0,15941.31934,15898,8748,281,0,67,0,15941.31934,15898,8803,289,0,60,0,15941.31934,15898,8794,290,0,57,0,15941.31934,15898,8787,293,0,54,0,15941.31934
420,Rembang,11025,57,9644,512,123,25,11058.77051,11025,64,9666,512,114,211,433,25,11058.77051,11025,67,9709,512,114,21,11058.77051,11025,67,9713,512,108,22,11058.77051,11025,67,9713,512,108,22,11058.77051,11025,67,9713,512,108,22,11058.77051,11025,67,9713,512,108,22,11058.77051,11025,67,9717,512,104,22,11058.77051,11025,67,9717,512,99,23,11058.77051,11025,93,9748,512,79,24,11058.77051,11025,93,9748,512,71,25,11058.77051,11025,93,9749,512,70,25,11058.77051,11025,93,9751,512,68,25,11058.77051
421,Rokan Hilir,96687,51191,25387,1542,73,7,96831.49219,96687,51240,25478,1553,73,1042,17294,7,96831.49219,96687,51259,25504,1531,73,7,96831.49256,96687,51218,25479,1529,72,7,96831.49256,96687,51184,25529,1508,72,7,96831.49256,96687,51131,25471,1436,72,6,96831.49256,96687,51097,25482,1412,71,6,96831.49256,96687,50742,25124,1341,71,6,96831.49256,96687,50743,25124,1341,67,6,96831.49256,96687,50172,24540,1311,63,5,96831.49256,96687,49446,24313,1172,61,5,96831.49256,96687,48032,23586,1082,54,7,96831.49256,96687,46376,22726,996,50,7,96831.49256
422,Rokan Hulu,76244,50904,6756,488,52,0,76368.19531,76244,51134,6712,484,42,0,17872,0,76368.19531,76244,51480,6690,483,33,0,76368.2002,76244,51492,6681,483,33,0,76368.2002,76244,51675,6684,481,33,0,76368.2002,76244,51766,6689,480,33,0,76368.2002,76244,51799,6687,480,33,0,76368.2002,76244,51440,6651,450,33,0,76368.2002,76244,51440,6653,450,31,0,76368.2002,76244,51360,6637,441,26,0,76368.2002,76244,51036,6536,410,23,0,76368.2002,76244,50408,6269,402,23,0,76368.2002,76244,50046,6096,397,22,0,76368.2002
423,Rote Ndao,13781,2150,8794,1619,145,3,13878.78125,13781,2149,8793,1619,144,433,640,3,13878.78125,13781,2145,8790,1619,144,3,13878.78027,13781,2145,8792,1619,141,3,13878.78027,13781,2145,8796,1619,137,3,13878.78027,13781,2145,8796,1619,137,3,13878.78027,13781,2145,8798,1619,135,3,13878.78027,13781,2145,8799,1619,134,3,13878.78027,13781,2145,8799,1619,134,3,13878.78027,13781,2151,8795,1619,133,3,13878.78027,13781,2151,8796,1619,132,3,13878.78027,13781,2151,8795,1619,132,3,13878.78027,13781,2151,8795,1619,132,3,13878.78027
424,Sabu Raijua,4935,96,4245,462,26,0,4962.77002,4935,96,4245,462,26,89,17,0,4962.77002,4935,96,4245,462,26,0,4962.77002,4935,96,4245,462,26,0,4962.77002,4935,96,4245,462,26,0,4962.77002,4935,96,4245,462,26,0,4962.77002,4935,96,4245,462,26,0,4962.77002,4935,96,4245,462,26,0,4962.77002,4935,96,4245,464,24,0,4962.77002,4935,96,4242,467,24,0,4962.77002,4935,96,4242,467,24,0,4962.77002,4935,96,4242,467,24,0,4962.77002,4935,96,4242,467,24,0,4962.77002
425,Sambas,61282,24675,16320,565,131,6,61364.73438,61282,24685,16266,565,131,1154,18474,7,61364.73438,61282,24685,16232,567,129,7,61364.7312,61282,24598,16140,565,122,7,61364.7312,61282,24520,16068,539,122,7,61364.7312,61282,24497,15984,517,122,7,61364.7312,61282,24434,15876,492,117,7,61364.7312,61282,24243,15640,406,115,7,61364.7312,61282,24243,15647,406,108,7,61364.7312,61282,23794,14954,240,102,9,61364.7312,61282,23341,14435,179,101,9,61364.7312,61282,23039,14146,164,99,9,61364.7312,61282,22655,13790,164,97,9,61364.7312
426,Samosir,13054,4531,2839,1157,7,0,13117.50977,13054,4525,2839,1157,7,161,4364,0,13117.50977,13054,4526,2829,1157,7,0,13117.50977,13054,4529,2830,1157,6,0,13117.50977,13054,4643,2854,1156,6,0,13117.50977,13054,4629,2858,1121,6,0,13117.50977,13054,4619,2853,1103,6,0,13117.50977,13054,4606,2850,1041,6,0,13117.50977,13054,4606,2850,1041,6,0,13117.50977,13054,4577,2786,1021,6,0,13117.50977,13054,4495,2760,1004,5,0,13117.50977,13054,4467,2747,1001,5,0,13117.50977,13054,4400,2728,993,5,0,13117.50977
427,Sampang,12994,212,11507,429,100,42,13052.83984,12994,212,11556,429,49,583,128,37,13052.83984,12994,212,11569,429,35,34,13052.83984,12994,212,11573,429,31,34,13052.83984,12994,212,11573,429,31,34,13052.83984,12994,212,11573,429,31,34,13052.83984,12994,212,11573,429,31,34,13052.83984,12994,212,11575,429,29,34,13052.83984,12994,212,11575,429,29,34,13052.83984,12994,212,11579,429,25,34,13052.83984,12994,212,11583,429,21,34,13052.83984,12994,212,11585,429,19,34,13052.83984,12994,212,11585,429,19,34,13052.83984
428,Sanggau,134310,98269,2948,191,450,6,134482.9043,134310,98355,2923,191,446,1452,30937,6,134482.9043,134310,97959,2850,190,444,6,134482.9097,134310,97900,2849,189,421,6,134482.9097,134310,98172,2853,187,407,10,134482.9097,134310,98251,2852,187,407,9,134482.9097,134310,98317,2848,185,403,9,134482.9097,134310,97999,2803,27,394,9,134482.9097,134310,98000,2807,27,384,9,134482.9097,134310,97691,2750,28,354,5,134482.9097,134310,97560,2658,27,332,6,134482.9097,134310,97394,2581,28,325,6,134482.9097,134310,97239,2513,26,318,0,134482.9097
429,Sarmi,147909,2887,170,0,73,0,148151.4572,147909,2797,164,0,73,828,144047,0,148151.4572,147909,2740,123,0,73,0,148151.4483,147909,2592,116,0,73,0,148151.4483,147909,2211,113,0,73,0,148151.4483,147909,2081,107,0,73,0,148151.4483,147909,2081,107,0,73,0,148151.4483,147909,2135,107,0,73,0,148151.4483,147909,2135,107,0,73,0,148151.4483,147909,2132,92,0,73,0,148151.4483,147909,2132,87,0,72,0,148151.4483,147909,2112,83,0,71,0,148151.4483,147909,2081,82,0,71,0,148151.4483
430,Sarolangun,61841,39876,1875,8,38,1,61963.45703,61841,39802,1858,8,27,4,20141,1,61963.45703,61841,39799,1868,8,17,1,61963.461,61841,39781,1867,8,16,1,61963.461,61841,39711,1855,8,16,1,61963.461,61841,39558,1837,8,16,1,61963.461,61841,39441,1832,8,16,1,61963.461,61841,39218,1813,8,16,1,61963.461,61841,39218,1814,8,15,1,61963.461,61841,39093,1757,3,13,1,61963.461,61841,38977,1740,3,11,1,61963.461,61841,38697,1676,2,11,1,61963.461,61841,38595,1656,0,11,1,61963.461
431,Sekadau,60031,44316,1695,12,61,0,60119.73047,60031,44380,1684,12,61,522,13372,0,60119.73047,60031,44437,1686,8,59,0,60119.73172,60031,44558,1687,8,58,0,60119.73172,60031,44744,1696,9,56,0,60119.73172,60031,44710,1696,9,56,0,60119.73172,60031,44799,1696,9,56,0,60119.73172,60031,45020,1687,9,56,0,60119.73172,60031,45020,1687,9,56,0,60119.73172,60031,44943,1722,9,49,0,60119.73172,60031,44979,1725,8,45,0,60119.73172,60031,44977,1726,8,44,0,60119.73172,60031,44940,1727,8,43,0,60119.73172
432,Seluma,25894,9052,168,0,3,0,25949.94141,25894,8943,167,0,2,98,16684,0,25949.94141,25894,8950,167,0,2,0,25949.93799,25894,9142,168,0,2,0,25949.93799,25894,9138,161,0,2,0,25949.93799,25894,9238,158,0,2,0,25949.93799,25894,9270,156,0,2,0,25949.93799,25894,9225,156,0,2,0,25949.93799,25894,9225,156,0,2,0,25949.93799,25894,10229,181,0,2,0,25949.93799,25894,10423,191,0,2,0,25949.93799,25894,10367,190,0,2,0,25949.93799,25894,10258,189,0,2,0,25949.93799
433,Semarang,10645,3849,2537,243,330,0,10719.66016,10645,3968,2548,245,299,110,3475,0,10719.66016,10645,3970,2555,246,287,0,10719.66016,10645,3973,2558,248,277,0,10719.66016,10645,3970,2558,248,277,0,10719.66016,10645,3963,2552,248,277,0,10719.66016,10645,3963,2552,248,277,0,10719.66016,10645,3956,2551,246,276,0,10719.66016,10645,3981,2557,249,241,0,10719.66016,10645,4074,2567,253,219,0,10719.66016,10645,4084,2576,255,197,0,10719.66016,10645,4088,2579,257,188,0,10719.66016,10645,4093,2582,257,178,0,10719.66016
434,Seram Bagian Barat,52633,4832,308,77,46,0,52801.68766,52633,4812,316,77,35,456,46937,0,52801.68766,52633,4740,318,77,30,0,52801.69101,52633,4698,318,77,28,0,52801.69101,52633,4440,300,77,28,0,52801.69101,52633,4343,298,77,28,0,52801.69101,52633,4319,297,77,28,0,52801.69101,52633,4278,297,77,28,0,52801.69101,52633,4279,298,77,26,0,52801.69101,52633,4143,292,72,23,0,52801.69101,52633,4151,294,72,20,0,52801.69101,52633,4174,294,72,19,0,52801.69101,52633,4154,292,72,19,0,52801.69101
435,Seram Bagian Timur,61316,3699,621,1,280,13,61435.29132,61316,3677,618,1,276,246,56485,13,61435.29132,61316,3677,620,1,273,13,61435.2897,61316,3634,606,1,272,13,61435.2897,61316,3511,581,1,272,13,61435.2897,61316,3471,577,1,272,13,61435.2897,61316,3457,576,1,272,13,61435.2897,61316,2859,501,1,272,13,61435.2897,61316,2859,501,1,272,13,61435.2897,61316,2754,485,1,271,13,61435.2897,61316,2754,485,1,268,13,61435.2897,61316,2730,485,1,267,13,61435.2897,61316,2648,483,1,267,13,61435.2897
436,Serang,15547,3175,3201,9,4962,139,15631.49023,15547,3182,3216,10,4940,895,3164,140,15631.49023,15547,3178,3225,10,4931,140,15631.49023,15547,3161,3339,12,4786,163,15631.49023,15547,3135,3340,12,4781,163,15631.49023,15547,3094,3340,12,4781,163,15631.49023,15547,3020,3350,12,4766,168,15631.49023,15547,3026,3356,12,4755,172,15631.49023,15547,3026,3369,12,4741,172,15631.49023,15547,3037,3383,12,4719,166,15631.49023,15547,3034,3394,12,4704,166,15631.49023,15547,3026,3409,12,4687,167,15631.49023,15547,3004,3421,12,4674,167,15631.49023
437,Serdang Bedagai,20466,12241,4714,0,248,31,20534.66016,20466,12262,4734,0,246,52,3141,31,20534.66016,20466,12299,4742,0,246,31,20534.66016,20466,12305,4743,0,243,32,20534.66016,20466,12537,4754,0,243,32,20534.66016,20466,12537,4754,0,243,32,20534.66016,20466,12537,4754,0,243,32,20534.66016,20466,12522,4756,0,241,32,20534.66016,20466,12525,4776,0,218,32,20534.66016,20466,12554,4795,0,189,31,20534.66016,20466,12556,4804,0,178,31,20534.66016,20466,12556,4815,0,167,31,20534.66016,20466,12553,4825,0,156,31,20534.66016
438,Seruyan,175035,55028,8445,4071,21,5,175213.966,175035,55060,8417,3955,21,1465,104273,5,175213.966,175035,55081,8425,3952,20,5,175213.9518,175035,54618,8350,3928,19,5,175213.9518,175035,54355,8286,3860,19,5,175213.9518,175035,54560,8293,3849,19,5,175213.9518,175035,54558,8285,3822,19,5,175213.9518,175035,53870,8199,2449,19,5,175213.9518,175035,53870,8199,2449,19,5,175213.9518,175035,54442,8204,2425,19,1,175213.9518,175035,54650,8211,2429,19,1,175213.9518,175035,54639,8147,2389,19,1,175213.9518,175035,54323,8079,2361,19,1,175213.9518
439,Siak,82341,38452,9850,907,238,1,82495.97656,82341,38879,9788,906,223,719,31825,1,82495.97656,82341,38890,9830,906,213,1,82495.96686,82341,38850,9775,911,213,1,82495.96686,82341,38658,9748,902,212,1,82495.96686,82341,38465,9704,855,212,1,82495.96686,82341,38167,9620,768,211,1,82495.96686,82341,37857,9449,631,210,1,82495.96686,82341,37857,9456,631,202,1,82495.96686,82341,36838,9263,594,191,1,82495.96686,82341,36519,9220,592,182,1,82495.96686,82341,36180,9100,586,175,1,82495.96686,82341,35714,9037,615,170,1,82495.96686
440,Siau Tagulandang Biaro,2321,211,63,0,2,0,2360.819824,2321,211,64,0,1,173,1872,0,2360.819824,2321,211,64,0,1,0,2360.819824,2321,211,64,0,1,0,2360.819824,2321,198,64,0,1,0,2360.819824,2321,198,64,0,1,0,2360.819824,2321,195,64,0,1,0,2360.819824,2321,195,64,0,1,0,2360.819824,2321,195,65,0,0,0,2360.819824,2321,195,65,0,0,0,2360.819824,2321,195,65,0,0,0,2360.819824,2321,195,65,0,0,0,2360.819824,2321,195,65,0,0,0,2360.819824
441,Sidenreng Rappang,20899,4418,8767,16,232,171,20964.34961,20899,4446,8802,16,201,661,6602,171,20964.34961,20899,4503,8838,16,184,171,20964.35147,20899,4486,8842,16,179,172,20964.35147,20899,4475,8843,16,178,172,20964.35147,20899,4515,8894,16,178,172,20964.35147,20899,4485,8890,16,178,172,20964.35147,20899,4464,8871,16,177,172,20964.35147,20899,4464,8880,16,167,173,20964.35147,20899,4582,8889,16,166,173,20964.35147,20899,4590,8894,16,162,173,20964.35147,20899,4590,8895,16,161,173,20964.35147,20899,4597,8894,16,161,173,20964.35147
442,Sidoarjo,7724,241,2639,0,2430,13,7739.969727,7724,276,2778,0,2249,2051,357,13,7739.969727,7724,292,2848,0,2162,13,7739.969727,7724,309,2964,0,2021,16,7739.969727,7724,310,3000,0,1983,17,7739.969727,7724,310,3003,0,1980,17,7739.969727,7724,312,3018,0,1959,19,7739.969727,7724,312,3024,0,1950,22,7739.969727,7724,323,3069,0,1888,24,7739.969727,7724,340,3172,0,1759,25,7739.969727,7724,365,3353,0,1540,27,7739.969727,7724,372,3428,0,1451,24,7739.969727,7724,386,3499,0,1362,25,7739.969727
443,Sigi,57155,6955,1737,0,194,5,57270.98047,57155,6920,1749,0,181,347,47953,5,57270.98047,57155,6977,1759,0,168,5,57270.98096,57155,6989,1751,0,168,5,57270.98096,57155,6767,1745,0,168,5,57270.98096,57155,6568,1745,0,168,5,57270.98096,57155,6448,1745,0,168,5,57270.98096,57155,6345,1759,0,154,5,57270.98096,57155,6345,1759,0,154,5,57270.98096,57155,6508,1745,0,152,5,57270.98096,57155,6515,1748,0,149,5,57270.98096,57155,6473,1751,0,146,5,57270.98096,57155,6487,1753,0,144,5,57270.98096
444,Sijunjung,32303,12104,299,0,34,1,32365.5293,32303,11861,298,0,34,0,20109,1,32365.5293,32303,11348,296,0,34,1,32365.53117,32303,11374,296,0,33,2,32365.53117,32303,11296,295,0,33,2,32365.53117,32303,11270,292,0,33,2,32365.53117,32303,10817,284,0,33,2,32365.53117,32303,10191,282,0,33,2,32365.53117,32303,10192,288,0,26,2,32365.53117,32303,9777,298,0,13,2,32365.53117,32303,9677,300,0,11,2,32365.53117,32303,9454,302,0,9,2,32365.53117,32303,9138,300,0,8,2,32365.53117
445,Sikka,18066,7030,1449,704,133,9,18129.03125,18066,7065,1449,704,133,320,8386,9,18129.03125,18066,7124,1449,704,133,9,18129.03009,18066,7122,1450,704,129,9,18129.03009,18066,7029,1444,704,129,9,18129.03009,18066,7020,1443,704,129,9,18129.03009,18066,7023,1443,704,129,9,18129.03009,18066,7023,1442,704,129,9,18129.03009,18066,7023,1448,704,123,9,18129.03009,18066,7052,1446,704,120,9,18129.03009,18066,7050,1447,704,119,9,18129.03009,18066,7028,1447,704,118,9,18129.03009,18066,7017,1447,704,118,9,18129.03009
446,Simalungun,46436,24676,6120,250,340,48,46536.05469,46436,24735,6118,249,338,655,14293,48,46536.05469,46436,24933,6123,249,334,48,46536.05176,46436,25039,6138,249,326,48,46536.05176,46436,25614,6213,249,326,48,46536.05176,46436,25538,6210,243,326,48,46536.05176,46436,25489,6208,241,326,48,46536.05176,46436,25412,6190,230,326,48,46536.05176,46436,25415,6220,230,288,48,46536.05176,46436,25679,6196,228,230,43,46536.05176,46436,25759,6212,225,202,43,46536.05176,46436,25742,6222,221,171,43,46536.05176,46436,25775,6214,213,160,43,46536.05176
447,Simeulue,19357,3104,129,0,32,0,19519.39063,19357,3107,129,0,32,629,15460,0,19519.39063,19357,3100,129,0,32,0,19519.3902,19357,3035,128,0,31,0,19519.3902,19357,3059,128,0,31,0,19519.3902,19357,3030,121,0,31,0,19519.3902,19357,3011,120,0,31,0,19519.3902,19357,3027,120,0,31,0,19519.3902,19357,3027,120,0,31,0,19519.3902,19357,3001,114,0,31,0,19519.3902,19357,3001,114,0,31,0,19519.3902,19357,3001,114,0,31,0,19519.3902,19357,3000,114,0,30,0,19519.3902
448,Sinjai,9217,4723,3068,2,50,1,9252.120117,9217,4785,3087,2,47,94,1201,1,9252.120117,9217,4781,3092,2,40,2,9252.120117,9217,4778,3089,2,39,2,9252.120117,9217,4775,3089,2,38,2,9252.120117,9217,4771,3084,2,37,2,9252.120117,9217,4771,3084,2,37,2,9252.120117,9217,4772,3094,2,36,2,9252.120117,9217,4772,3096,2,34,2,9252.120117,9217,4852,3145,2,30,2,9252.120117,9217,4853,3146,2,27,2,9252.120117,9217,4854,3146,2,26,2,9252.120117,9217,4854,3146,2,26,2,9252.120117
449,Sintang,235864,105329,6651,1451,77,0,236102.8667,235864,105285,6641,1446,68,893,121347,0,236102.8667,235864,105282,6650,1434,55,0,236102.8542,235864,104948,6643,1428,52,0,236102.8542,235864,104218,6627,1405,50,0,236102.8542,235864,103338,6583,1374,50,0,236102.8542,235864,103122,6536,1268,50,0,236102.8542,235864,102778,6286,805,50,0,236102.8542,235864,102778,6287,805,49,0,236102.8542,235864,100532,6194,762,45,0,236102.8542,235864,100103,6060,737,40,0,236102.8542,235864,99289,5854,718,40,0,236102.8542,235864,98282,5672,669,40,0,236102.8542
