id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,gdpc2020,gdpc2021,,,,,,,,
48,Aceh,Bener Meriah," 2,420,612 "," 2,528,784 "," 2,661,124 "," 2,804,613 "," 2,929,389 "," 3,070,582 "," 3,206,522 "," 3,337,606 "," 3,476,510 "," 3,626,655 "," 3,629,871 "," 3,754,095 ",,,,,,,,
49,Riau,Bengkalis," 85,300,439 "," 91,999,289 "," 91,397,011 "," 88,411,086 "," 85,003,797 "," 82,676,674 "," 80,577,992 "," 79,189,782 "," 77,848,258 "," 76,377,289 "," 73,856,683 "," 74,229,923 ",,,,,,,,
50,West Kalimantan,Bengkayang," 3,649,150 "," 3,834,740 "," 4,059,787 "," 4,299,248 "," 4,472,287 "," 4,649,503 "," 4,889,160 "," 5,163,899 "," 5,434,858 "," 5,714,297 "," 5,600,324 "," 5,842,930 ",,,,,,,,
51,Bengkulu,Bengkulu Selatan," 2,220,325 "," 2,366,414 "," 2,518,785 "," 2,674,076 "," 2,825,965 "," 2,971,302 "," 3,127,256 "," 3,281,690 "," 3,444,032 "," 3,615,034 "," 3,624,589 "," 3,742,506 ",,,,,,,,
52,Bengkulu,Bengkulu Tengah," 1,814,999 "," 1,916,027 "," 2,033,315 "," 2,146,923 "," 2,264,214 "," 2,377,714 "," 2,496,628 "," 2,620,222 "," 2,750,436 "," 2,887,020 "," 2,885,344 "," 2,951,442 ",,,,,,,,
53,Bengkulu,Bengkulu Utara," 3,257,580 "," 3,456,408 "," 3,677,271 "," 3,879,885 "," 4,091,949 "," 4,299,371 "," 4,514,180 "," 4,732,510 "," 4,960,303 "," 5,204,593 "," 5,216,353 "," 5,425,357 ",,,,,,,,
54,East Kalimantan,Berau," 14,558,924 "," 17,725,234 "," 20,467,253 "," 22,591,474 "," 24,449,675 "," 25,902,530 "," 25,461,370 "," 26,227,292 "," 26,769,400 "," 28,275,573 "," 27,337,087 "," 14,032,621 ",,,,,,,,
55,Papua,Biak Numfor," 2,489,807 "," 2,613,050 "," 2,800,861 "," 2,997,417 "," 3,156,013 "," 3,364,871 "," 3,501,595 "," 3,341,439 "," 3,355,450 "," 3,429,604 "," 3,255,906 "," 3,336,294 ",,,,,,,,
56,West Nusa Tenggara ,Bima," 5,094,272 "," 5,402,245 "," 5,723,488 "," 6,016,134 "," 6,377,801 "," 6,783,723 "," 7,143,341 "," 7,590,905 "," 7,897,788 "," 8,234,045 "," 7,943,636 "," 8,085,698 ",,,,,,,,
57,Riau Islands,Bintan," 8,891,007 "," 9,501,063 "," 10,126,483 "," 10,741,921 "," 11,424,374 "," 12,013,391 "," 12,620,121 "," 13,244,041 "," 13,886,088 "," 14,512,074 "," 13,902,163 "," 13,933,491 ",,,,,,,,
58,Aceh,Bireuen," 7,126,511 "," 7,397,630 "," 7,689,706 "," 7,999,504 "," 8,171,311 "," 8,481,897 "," 8,824,936 "," 9,197,931 "," 9,586,142 "," 10,065,428 "," 9,962,579 "," 10,369,980 ",,,,,,,,
59,East Java,Blitar," 16,213,907 "," 17,093,902 "," 18,054,456 "," 18,967,280 "," 19,920,157 "," 20,928,474 "," 21,991,428 "," 23,107,484 "," 24,286,241 "," 25,530,112 "," 24,945,465 "," 25,700,019 ",,,,,,,,
60,Central Java,Blora," 10,149,080 "," 10,597,723 "," 11,116,866 "," 11,712,505 "," 12,227,201 "," 12,882,588 "," 15,914,663 "," 16,866,641 "," 17,605,216 "," 18,318,415 "," 17,483,887 "," 18,126,447 ",,,,,,,,
61,Gorontalo,Boalemo," 1,930,377 "," 2,060,449 "," 2,213,391 "," 2,378,894 "," 2,552,688 "," 2,715,277 "," 2,886,159 "," 3,078,279 "," 3,284,064 "," 3,504,254 "," 3,497,055 "," 3,568,346 ",,,,,,,,
62,West Java,Bogor," 92,931,566 "," 98,378,723 "," 104,286,981 "," 110,685,276 "," 117,339,503 "," 124,486,977 "," 131,760,367 "," 139,561,454 "," 148,203,354 "," 156,876,009 "," 154,113,604 "," 159,589,545 ",,,,,,,,
63,East Java,Bojonegoro," 33,291,911 "," 36,751,014 "," 38,136,127 "," 39,039,384 "," 39,934,829 "," 46,892,806 "," 57,187,374 "," 63,046,469 "," 65,815,563 "," 69,985,678 "," 69,703,421 "," 65,839,509 ",,,,,,,,
64,North Sulawesi ,Bolaang Mongondow," 3,218,539 "," 3,306,236 "," 3,473,725 "," 3,705,498 "," 3,911,380 "," 4,139,100 "," 4,413,199 "," 4,707,459 "," 5,060,107 "," 5,459,314 "," 5,512,884 "," 10,116,558 ",,,,,,,,
65,North Sulawesi ,Bolaang Mongondow Selatan," 753,907 "," 795,897 "," 851,327 "," 912,717 "," 980,919 "," 1,039,394 "," 1,103,136 "," 1,171,959 "," 1,248,799 "," 1,328,571 "," 1,336,974 "," 7,769,743 ",,,,,,,,
66,North Sulawesi ,Bolaang Mongondow Timur," 1,113,867 "," 1,179,724 "," 1,257,668 "," 1,341,910 "," 1,435,603 "," 1,528,600 "," 1,613,814 "," 1,706,002 "," 1,792,387 "," 1,878,470 "," 1,881,482 "," 3,604,939 ",,,,,,,,
67,North Sulawesi ,Bolaang Mongondow Utara," 968,405 "," 1,020,031 "," 1,090,625 "," 1,168,295 "," 1,247,860 "," 1,320,203 "," 1,401,510 "," 1,489,523 "," 1,581,647 "," 1,679,214 "," 1,691,098 "," 20,767,642 ",,,,,,,,
68,South East Sulawesi ,Bombana," 2,453,020 "," 2,669,003 "," 2,967,458 "," 3,215,132 "," 3,451,467 "," 3,717,017 "," 3,918,190 "," 4,174,328 "," 4,417,811 "," 4,682,492 "," 4,708,735 "," 4,873,217 ",,,,,,,,
69,East Java,Bondowoso," 8,515,883 "," 9,033,033 "," 9,583,383 "," 10,140,111 "," 10,652,435 "," 11,179,621 "," 11,735,586 "," 12,325,665 "," 12,951,515 "," 13,637,365 "," 13,451,771 "," 13,921,654 ",,,,,,,,
70,South Sulawesi ,Bone," 11,055,901 "," 11,763,801 "," 12,730,120 "," 13,531,849 "," 14,821,376 "," 16,051,871 "," 17,498,179 "," 18,970,527 "," 20,660,069 "," 22,108,039 "," 22,053,740 "," 23,273,868 ",,,,,,,,
71,Gorontalo,Bone Bolango," 1,719,663 "," 1,838,623 "," 1,975,880 "," 2,126,545 "," 2,290,622 "," 2,439,920 "," 2,601,323 "," 2,785,645 "," 2,965,463 "," 3,153,897 "," 3,155,946 "," 3,225,233 ",,,,,,,,
72,East Kalimantan,Bontang," 54,258,700 "," 50,234,499 "," 45,623,745 "," 43,012,336 "," 41,622,133 "," 43,437,184 "," 42,835,509 "," 43,073,056 "," 41,316,217 "," 40,427,700 "," 39,320,231 "," 7,769,743 ",,,,,,,,
73,Papua,Boven Digoel," 2,222,231 "," 2,307,258 "," 2,399,632 "," 2,559,254 "," 2,716,087 "," 2,862,379 "," 2,998,124 "," 3,120,159 "," 3,221,866 "," 3,275,506 "," 3,190,498 "," 3,200,387 ",,,,,,,,
74,Central Java,Boyolali," 13,721,701 "," 14,592,026 "," 15,369,974 "," 16,266,499 "," 17,148,351 "," 18,170,384 "," 19,139,359 "," 20,248,849 "," 21,406,269 "," 22,681,098 "," 22,409,733 "," 23,447,366 ",,,,,,,,
75,Central Java,Brebes," 20,158,108 "," 21,498,422 "," 22,482,263 "," 23,812,057 "," 25,074,172 "," 26,572,835 "," 27,930,986 "," 29,509,207 "," 31,060,106 "," 32,847,863 "," 32,693,081 "," 33,533,328 ",,,,,,,,
76,Bali,Buleleng," 13,620,230 "," 14,497,367 "," 15,480,210 "," 16,587,191 "," 17,741,753 "," 18,818,624 "," 19,950,718 "," 21,023,600 "," 22,201,448 "," 23,425,319 "," 22,066,165 "," 21,785,733 ",,,,,,,,
77,South Sulawesi ,Bulukumba," 4,740,632 "," 5,000,760 "," 5,483,245 "," 5,909,291 "," 6,413,699 "," 6,774,321 "," 7,232,838 "," 7,730,913 "," 8,121,328 "," 8,567,455 "," 8,604,201 "," 9,013,584 ",,,,,,,,
78,North Kalimantan,Bulungan," 7,350,392 "," 8,011,593 "," 8,646,404 "," 9,110,271 "," 9,500,924 "," 9,716,362 "," 9,996,960 "," 10,570,934 "," 11,106,352 "," 11,628,631 "," 11,547,044 "," 11,979,799 ",,,,,,,,
79,Jambi,Bungo," 7,019,663 "," 7,703,626 "," 8,446,776 "," 9,208,467 "," 9,829,561 "," 10,333,808 "," 10,891,038 "," 11,510,101 "," 12,045,804 "," 12,549,933 "," 12,490,069 "," 13,113,570 ",,,,,,,,
80,Central Sulawesi  ,Buol," 2,528,849 "," 2,709,916 "," 2,907,932 "," 3,121,026 "," 3,311,071 "," 3,511,814 "," 3,620,241 "," 3,765,180 "," 3,873,900 "," 3,956,652 "," 3,842,194 "," 20,767,642 ",,,,,,,,
81,Maluku,Buru," 954,861 "," 1,006,766 "," 1,061,575 "," 1,108,483 "," 1,177,519 "," 1,239,095 "," 1,309,987 "," 1,388,751 "," 1,475,063 "," 1,564,452 "," 1,564,097 "," 1,610,529 ",,,,,,,,
82,Maluku,Buru Selatan," 536,043 "," 560,887 "," 590,025 "," 621,698 "," 660,560 "," 705,279 "," 748,857 "," 794,736 "," 842,551 "," 892,106 "," 892,003 "," 923,193 ",,,,,,,,
83,South East Sulawesi ,Buton," 3,640,076 "," 4,075,055 "," 4,512,651 "," 4,877,739 "," 2,209,250 "," 2,301,463 "," 2,410,493 "," 2,529,408 "," 2,657,006 "," 2,788,039 "," 2,774,406 "," 2,847,090 ",,,,,,,,
84,South East Sulawesi ,Buton Selatan, - , - , - , - ," 1,562,366 "," 1,626,277 "," 1,742,701 "," 1,864,284 "," 1,966,490 "," 2,062,349 "," 2,033,595 "," 2,080,197 ",,,,,,,,
85,South East Sulawesi ,Buton Tengah, - , - , - , - ," 1,260,520 "," 1,296,598 "," 1,401,356 "," 1,492,051 "," 1,579,008 "," 1,656,389 "," 1,706,710 "," 1,759,936 ",,,,,,,,
86,South East Sulawesi ,Buton Utara," 1,194,945 "," 1,308,885 "," 1,423,853 "," 1,549,525 "," 1,698,127 "," 1,768,242 "," 1,875,125 "," 1,992,103 "," 2,108,647 "," 2,228,586 "," 2,250,747 "," 2,342,595 ",,,,,,,,
87,West Java,Ciamis," 13,716,197 "," 14,433,282 "," 15,213,674 "," 16,026,514 "," 16,839,416 "," 17,779,913 "," 18,844,974 "," 19,826,748 "," 20,878,689 "," 22,001,240 "," 21,970,410 "," 22,774,934 ",,,,,,,,
88,West Java,Cianjur," 19,696,928 "," 20,660,192 "," 21,817,064 "," 22,883,159 "," 24,041,991 "," 25,352,134 "," 26,981,369 "," 28,538,994 "," 30,320,206 "," 32,039,318 "," 31,792,318 "," 32,897,527 ",,,,,,,,
89,Central Java,Cilacap," 75,099,090 "," 78,156,819 "," 79,702,238 "," 81,022,670 "," 83,391,500 "," 88,357,607 "," 92,858,650 "," 95,254,587 "," 98,100,568 "," 100,327,299 "," 90,011,584 "," 91,944,588 ",,,,,,,,
90,West Java,Cirebon," 21,496,571 "," 22,621,717 "," 23,857,750 "," 25,042,255 "," 26,312,992 "," 27,596,255 "," 29,149,312 "," 30,623,306 "," 32,161,840 "," 33,668,098 "," 33,304,050 "," 34,127,516 ",,,,,,,,
91,North Sumatera,Dairi," 4,238,246 "," 4,447,094 "," 4,671,001 "," 4,906,859 "," 5,153,826 "," 5,413,749 "," 5,688,451 "," 5,968,806 "," 6,267,822 "," 6,569,813 "," 6,508,053 "," 6,641,674 ",,,,,,,,
92,Papua,Deiyai," 383,610 "," 456,503 "," 492,081 "," 545,727 "," 608,615 "," 686,959 "," 741,299 "," 776,909 "," 803,579 "," 833,647 "," 830,729 "," 843,063 ",,,,,,,,
93,North Sumatera,Deli Serdang," 43,040,005 "," 45,257,733 "," 47,513,866 "," 51,896,062 "," 55,790,749 "," 58,713,674 "," 61,839,675 "," 64,991,871 "," 68,340,999 "," 71,878,690 "," 70,596,825 "," 72,173,623 ",,,,,,,,
94,Central Java,Demak," 11,647,736 "," 12,275,703 "," 12,823,227 "," 13,499,226 "," 14,078,420 "," 14,913,000 "," 15,672,483 "," 16,584,124 "," 17,479,877 "," 18,417,010 "," 18,374,562 "," 18,856,416 ",,,,,,,,
95,West Sumatera,Dharmasraya," 4,542,599 "," 4,840,426 "," 5,140,196 "," 5,474,897 "," 5,821,734 "," 6,156,752 "," 6,490,286 "," 6,843,182 "," 7,204,466 "," 7,560,323 "," 7,454,968 "," 7,708,751 ",,,,,,,,
96,Papua,Dogiyai," 456,533 "," 506,993 "," 551,739 "," 596,461 "," 650,760 "," 704,722 "," 753,373 "," 797,698 "," 844,460 "," 892,883 "," 895,957 "," 905,604 ",,,,,,,,
97,West Nusa Tenggara ,Dompu," 3,084,874 "," 3,307,023 "," 3,511,426 "," 3,688,728 "," 3,892,993 "," 4,132,460 "," 4,346,818 "," 4,640,179 "," 4,843,375 "," 5,059,301 "," 4,896,652 "," 4,978,987 ",,,,,,,,
98,Central Sulawesi  ,Donggala," 5,305,180 "," 5,662,326 "," 6,044,337 "," 6,458,762 "," 6,837,371 "," 7,246,656 "," 7,559,934 "," 7,961,070 "," 8,165,226 "," 8,528,694 "," 8,165,358 "," 14,032,621 ",,,,,,,,
99,South Sumatera,Empat Lawang," 2,294,636 "," 2,433,330 "," 2,582,010 "," 2,721,106 "," 2,836,118 "," 2,963,804 "," 3,098,260 "," 3,213,154 "," 3,348,997 "," 3,470,332 "," 3,473,402 "," 3,604,939 ",,,,,,,,
100,East Nusa Tenggara,Ende," 2,640,077 "," 2,775,302 "," 2,921,226 "," 3,077,032 "," 3,231,199 "," 3,395,122 "," 3,567,468 "," 3,747,140 "," 3,931,684 "," 4,131,218 "," 4,076,215 "," 4,162,984 ",,,,,,,,
101,South Sulawesi ,Enrekang," 2,605,142 "," 2,815,547 "," 3,021,203 "," 3,197,504 "," 3,389,146 "," 3,623,224 "," 3,899,586 "," 4,166,405 "," 4,302,051 "," 4,535,551 "," 4,592,230 "," 4,884,373 ",,,,,,,,
